iter	Passed	Remaining
1526	44448	71985
1527	44454	71919
1528	44465	71859
1529	44478	71804
1530	44484	71739
1531	44526	71730
1532	44569	71723
1533	44590	71681
1534	44634	71676
1535	44644	71616
1536	44652	71554
1537	44696	71548
1538	44740	71543
1539	44747	71480
1540	44792	71475
1541	44800	71413
1542	44842	71405
1543	44857	71352
1544	44868	71295
1545	44883	71244
1546	44896	71190
1547	44909	71135
1548	44940	71110
1549	44983	71102
1550	45025	71094
1551	45033	71031
1552	45043	70973
1553	45087	70967
1554	45108	70925
1555	45150	70918
1556	45199	70919
1557	45241	70911
1558	45251	70851
1559	45262	70795
1560	45306	70789
1561	45350	70784
1562	45394	70778
1563	45437	70771
1564	45445	70708
1565	45455	70650
1566	45496	70639
1567	45503	70577
1568	45512	70517
1569	45555	70509
1570	45569	70456
1571	45613	70450
1572	45654	70440
1573	45670	70392
1574	45678	70330
1575	45719	70320
1576	45730	70263
1577	45738	70201
1578	45781	70194
1579	45826	70190
1580	45839	70136
1581	45847	70074
1582	45889	70066
1583	45903	70015
1584	45947	70007
1585	45955	69947
1586	45997	69938
1587	46007	69879
1588	46015	69818
1589	46058	69811
1590	46066	69751
1591	46087	69710
1592	46096	69651
1593	46104	69590
1594	46112	69530
1595	46119	69468
1596	46151	69443
1597	46194	69435
1598	46204	69379
1599	46247	69370
1600	46290	69362
1601	46333	69356
1602	46349	69307
1603	46393	69300
1604	46413	69258
1605	46424	69203
1606	46467	69194
1607	46509	69185
1608	46522	69133
1609	46531	69074
1610	46540	69016
1611	46560	68974
1612	46602	68965
1613	46610	68905
1614	46651	68894
1615	46666	68844
1616	46675	68786
1617	46689	68735
1618	46731	68726
1619	46751	68683
1620	46763	68630
1621	46805	68620
1622	46848	68612
1623	46868	68571
1624	46913	68565
1625	46925	68511
1626	46933	68453
1627	46950	68406
1628	46960	68351
1629	47005	68344
1630	47049	68337
1631	47092	68330
1632	47134	68320
1633	47156	68280
1634	47201	68276
1635	47209	68216
1636	47218	68159
1637	47227	68102
1638	47235	68043
1639	47277	68034
1640	47320	68024
1641	47342	67986
1642	47363	67946
1643	47371	67887
1644	47414	67878
1645	47449	67859
1646	47459	67803
1647	47471	67750
1648	47516	67744
1649	47558	67735
1650	47601	67725
1651	47612	67671
1652	47656	67664
1653	47702	67659
1654	47712	67604
1655	47720	67546
1656	47730	67491
1657	47773	67481
1658	47784	67428
1659	47834	67429
1660	47878	67421
1661	47924	67416
